"","responses","group","mean","lci","uci","nobs","nstudy"
"1","diversity","Overall","0.683910655654252","0.441484016758466","0.926337294550037","76","36"
"2","diversity","Taxonomic.CategoryBees","0.592855518298792","0.282678205250647","0.903032831346937","21","14"
"3","diversity","Taxonomic.CategoryBumblebees","0.931388816650674","0.607779283386549","1.2549983499148","16","8"
"4","diversity","Taxonomic.CategoryButterflies","0.667525373307211","0.378022343975688","0.957028402638734","18","10"
"5","diversity","Taxonomic.CategoryHoverflies","0.269416091862351","-0.103458450249654","0.642290633974356","5","4"
"6","diversity","Taxonomic.CategoryMoths","0.240244449206221","-0.459089111742605","0.939578010155046","4","3"
"7","diversity","Taxonomic.CategorySolitary Bees","0.591388824000352","0.196357796242045","0.98641985175866","4","3"
"8","diversity","Edge.Center.MarginAcross System","0.721309314134118","-0.0220955482741634","1.4647141765424","5","5"
"9","diversity","Edge.Center.MarginCenter","0.701302900617437","0.376017720106874","1.026588081128","20","14"
"10","diversity","Edge.Center.MarginEdge","0.459637684758139","0.0919420896099936","0.827333279906285","21","12"
"11","diversity","Edge.Center.MarginMargin","0.745313108232742","0.381055788596728","1.10957042786876","26","12"
"12","diversity","Cropping.SystemCereal","0.804793277192635","0.51094440696996","1.09864214741531","48","19"
"13","diversity","Cropping.SystemMixed","0.71636962757626","0.112967815874915","1.3197714392776","12","6"
"14","diversity","Cropping.SystemPasture","0.145130534827122","-0.715404770525751","1.00566584018","6","3"
"15","diversity","Cropping.SystemPerennial","0.190939479248008","-0.400326117164291","0.782205075660308","8","6"
"16","diversity","Sampling.MethodCombination","0.52314342825517","-0.0125338548538284","1.05882071136417","14","7"
"17","diversity","Sampling.MethodOther","0.540031481980069","-0.458683915712994","1.53874687967313","4","3"
"18","diversity","Sampling.MethodPan Traps","0.134015629678858","-0.645004696462198","0.913035955819914","7","4"
"19","diversity","Sampling.MethodTransects","0.93103503434654","0.605413247418429","1.25665682127465","44","18"
"20","diversity","Sampling.MethodTrap Nests","0.180338679379875","-0.609183581383624","0.969860940143375","6","3"
"21","diversity","Landscape.ComplexityComplex","0.607602392923374","0.182060615996427","1.03314416985032","22","13"
"22","diversity","Landscape.ComplexityGradient","0.568816628357175","0.0418619588106244","1.09577129790373","17","8"
"23","diversity","Landscape.ComplexitySimple","0.928107693708887","0.487847464102324","1.36836792331545","24","12"
